Слово,Частота,Частота(%)
несвицкий,47,0.042153%
говорили,47,0.042153%
армии,47,0.042153%
элен,47,0.042153%
которых,46,0.041256%
стоял,46,0.041256%
лошади,46,0.041256%
nous,45,0.040359%
обращаясь,45,0.040359%
une,45,0.040359%
анатоль,45,0.040359%
совершенно,45,0.040359%
двери,45,0.040359%
тому,45,0.040359%
соня,45,0.040359%
видеть,44,0.039462%
нынче,44,0.039462%
мост,44,0.039462%
можно,44,0.039462%
молодой,44,0.039462%
голосом,44,0.039462%
николай,44,0.039462%
друга,44,0.039462%
этим,44,0.039462%
той,43,0.038565%
выражение,43,0.038565%
мимо,43,0.038565%
qui,43,0.038565%
около,43,0.038565%
бог,43,0.038565%
хотя,43,0.038565%
комнату,43,0.038565%
нем,43,0.038565%
n,42,0.037668%
делать,42,0.037668%
сидел,42,0.037668%
ту,42,0.037668%
qu,42,0.037668%
очевидно,42,0.037668%
должен,42,0.037668%
всю,42,0.037668%
лицом,42,0.037668%
собой,42,0.037668%
chere,42,0.037668%
полковой,42,0.037668%
двух,42,0.037668%
голоса,42,0.037668%
d,41,0.036772%
полк,41,0.036772%
пьеру,41,0.036772%
княжны,41,0.036772%
знает,41,0.036772%
бонапарте,41,0.036772%
моя,41,0.036772%
маленькая,41,0.036772%
чувствовал,40,0.035875%
чувство,40,0.035875%
глаз,40,0.035875%
своими,40,0.035875%
выражением,40,0.035875%
tout,40,0.035875%
быстро,39,0.034978%
прибавил,39,0.034978%
рукой,39,0.034978%
те,39,0.034978%
du,39,0.034978%
французы,39,0.034978%
вид,39,0.034978%
никто,39,0.034978%
поехал,39,0.034978%
куда,39,0.034978%
весело,39,0.034978%
дальше,38,0.034081%
адъютант,38,0.034081%
место,38,0.034081%
эта,38,0.034081%
какой,38,0.034081%
наконец,38,0.034081%
сражения,38,0.034081%
жизни,38,0.034081%
такой,38,0.034081%
mais,37,0.033184%
сделать,37,0.033184%
руками,37,0.033184%
знать,37,0.033184%
зачем,37,0.033184%
старый,37,0.033184%
кажется,37,0.033184%
дверь,37,0.033184%
другие,37,0.033184%
первый,37,0.033184%
plus,36,0.032287%
императора,36,0.032287%
своем,36,0.032287%
пошел,36,0.032287%
сторон,36,0.032287%
завтра,36,0.032287%
кого,36,0.032287%
совсем,36,0.032287%
нам,36,0.032287%
звуки,36,0.032287%
таким,36,0.032287%
ростову,36,0.032287%
весь,35,0.031390%
en,35,0.031390%
me,35,0.031390%
кричал,35,0.031390%
si,35,0.031390%
которым,35,0.031390%
говорят,35,0.031390%
тушин,35,0.031390%
сейчас,35,0.031390%
отца,35,0.031390%
comme,35,0.031390%
головой,35,0.031390%
офицера,35,0.031390%
давно,35,0.031390%
