Слово,Частота,Частота(%)
подала,4,0.003587%
пропозицию,4,0.003587%
наполеоном,4,0.003587%
dont,4,0.003587%
кавалергарды,4,0.003587%
слушателей,4,0.003587%
тонкие,4,0.003587%
говоривших,4,0.003587%
адъютантом,4,0.003587%
пользоваться,4,0.003587%
костры,4,0.003587%
чиновник,4,0.003587%
версты,4,0.003587%
прикрытия,4,0.003587%
конечно,4,0.003587%
костра,4,0.003587%
романа,4,0.003587%
schon,4,0.003587%
деревней,4,0.003587%
просит,4,0.003587%
башмаках,4,0.003587%
егерского,4,0.003587%
разжалован,4,0.003587%
французскую,4,0.003587%
бледен,4,0.003587%
командиром,4,0.003587%
папенька,4,0.003587%
сквег,4,0.003587%
слева,4,0.003587%
тонкой,4,0.003587%
лошадьми,4,0.003587%
пуля,4,0.003587%
беспокойство,4,0.003587%
визиты,4,0.003587%
орденах,4,0.003587%
цепляясь,4,0.003587%
третьего,4,0.003587%
член,4,0.003587%
начинала,4,0.003587%
согласен,4,0.003587%
слышали,4,0.003587%
лениво,4,0.003587%
слышала,4,0.003587%
сидоров,4,0.003587%
черед,4,0.003587%
женщинами,4,0.003587%
даром,4,0.003587%
прекрасной,4,0.003587%
несчастия,4,0.003587%
приходила,4,0.003587%
общей,4,0.003587%
болит,4,0.003587%
работал,4,0.003587%
эскадроном,4,0.003587%
изменились,4,0.003587%
шутки,4,0.003587%
спиною,4,0.003587%
доставить,4,0.003587%
nos,4,0.003587%
храбрость,4,0.003587%
воля,4,0.003587%
находя,4,0.003587%
подождите,4,0.003587%
несчастного,4,0.003587%
подбежал,4,0.003587%
бросить,4,0.003587%
новым,4,0.003587%
франца,4,0.003587%
лишь,4,0.003587%
свист,4,0.003587%
земле,4,0.003587%
кричала,4,0.003587%
большими,4,0.003587%
николенька,4,0.003587%
благодарить,4,0.003587%
слышалось,4,0.003587%
болконская,4,0.003587%
неизбежно,4,0.003587%
поручика,4,0.003587%
держит,4,0.003587%
развел,4,0.003587%
оживленного,4,0.003587%
берег,4,0.003587%
францу,4,0.003587%
апраксина,4,0.003587%
заметно,4,0.003587%
стоявших,4,0.003587%
слились,4,0.003587%
облокотился,4,0.003587%
peu,4,0.003587%
ядер,4,0.003587%
долгоруковым,4,0.003587%
карьеру,4,0.003587%
убил,4,0.003587%
похоже,4,0.003587%
артиллеристов,4,0.003587%
снизу,4,0.003587%
роста,4,0.003587%
приятной,4,0.003587%
предмет,4,0.003587%
представлялись,4,0.003587%
дошло,4,0.003587%
молчала,4,0.003587%
строгая,4,0.003587%
удара,4,0.003587%
старичок,4,0.003587%
удерживаясь,4,0.003587%
звучным,4,0.003587%
каких,4,0.003587%
австрия,4,0.003587%
забыто,4,0.003587%
высших,4,0.003587%
приятный,4,0.003587%
заплакать,4,0.003587%
видать,4,0.003587%
андрюша,4,0.003587%
славы,4,0.003587%
поразила,4,0.003587%
торжественным,4,0.003587%
море,4,0.003587%
какою,4,0.003587%
выгоды,4,0.003587%
императором,4,0.003587%
строгим,4,0.003587%
упала,4,0.003587%
православное,4,0.003587%
правом,4,0.003587%
правой,4,0.003587%
губами,4,0.003587%
благодарил,4,0.003587%
обходя,4,0.003587%
нашим,4,0.003587%
коляску,4,0.003587%
коляска,4,0.003587%
ротный,4,0.003587%
пропуская,4,0.003587%
маршалы,4,0.003587%
нашем,4,0.003587%
рубашке,4,0.003587%
глупость,4,0.003587%
безухова,4,0.003587%
франции,4,0.003587%
grace,4,0.003587%
просьба,4,0.003587%
мюрату,4,0.003587%
viii,4,0.003587%
знаем,4,0.003587%
nouvelle,4,0.003587%
пропустить,4,0.003587%
кирстен,4,0.003587%
оглянувшись,4,0.003587%
разошлись,4,0.003587%
молодом,4,0.003587%
avoir,4,0.003587%
немецки,4,0.003587%
полным,4,0.003587%
русским,4,0.003587%
веселым,4,0.003587%
одобрительно,4,0.003587%
шучу,4,0.003587%
marieiage,4,0.003587%
офицерах,4,0.003587%
далее,4,0.003587%
блеском,4,0.003587%
рассказывал,4,0.003587%
personne,4,0.003587%
перехода,4,0.003587%
сделав,4,0.003587%
криков,4,0.003587%
сердцу,4,0.003587%
готовилась,4,0.003587%
fille,4,0.003587%
помните,4,0.003587%
чрез,4,0.003587%
правее,4,0.003587%
вашим,4,0.003587%
лысую,4,0.003587%
врешь,4,0.003587%
comprends,4,0.003587%
любить,4,0.003587%
оскорбить,4,0.003587%
павлоградцев,4,0.003587%
garde,4,0.003587%
друзей,4,0.003587%
случайно,4,0.003587%
ветром,4,0.003587%
нации,4,0.003587%
участием,4,0.003587%
женою,4,0.003587%
посланника,4,0.003587%
страшного,4,0.003587%
думают,4,0.003587%
нижней,4,0.003587%
опасности,4,0.003587%
хорошее,4,0.003587%
ведет,4,0.003587%
полное,4,0.003587%
prendre,4,0.003587%
хозяин,4,0.003587%
любили,4,0.003587%
язык,4,0.003587%
упреком,4,0.003587%
лестнице,4,0.003587%
массой,4,0.003587%
шинелях,4,0.003587%
пятнадцать,4,0.003587%
отпустил,4,0.003587%
нижнюю,4,0.003587%
выпустил,4,0.003587%
слабости,4,0.003587%
тремя,4,0.003587%
попросил,4,0.003587%
тяжелые,4,0.003587%
грязи,4,0.003587%
середину,4,0.003587%
богом,4,0.003587%
спины,4,0.003587%
спине,4,0.003587%
курьера,4,0.003587%
девушке,4,0.003587%
читая,4,0.003587%
ключ,4,0.003587%
неприятелю,4,0.003587%
огонек,4,0.003587%
выступали,4,0.003587%
действие,4,0.003587%
действий,4,0.003587%
верхняя,4,0.003587%
отходили,4,0.003587%
передков,4,0.003587%
зашевелились,4,0.003587%
тяжелое,4,0.003587%
кавалерия,4,0.003587%
вернулась,4,0.003587%
прекрасными,4,0.003587%
дайте,4,0.003587%
картечь,4,0.003587%
вскочил,4,0.003587%
княжной,4,0.003587%
чисто,4,0.003587%
доказывать,4,0.003587%
обратно,4,0.003587%
вдалеке,4,0.003587%
козловского,4,0.003587%
vos,4,0.003587%
тащили,4,0.003587%
способности,4,0.003587%
хвостом,4,0.003587%
встретив,4,0.003587%
сознавая,4,0.003587%
тихона,4,0.003587%
скинул,4,0.003587%
espere,4,0.003587%
ипполиту,4,0.003587%
квартира,4,0.003587%
год,4,0.003587%
ужасная,4,0.003587%
казаки,4,0.003587%
заснуть,4,0.003587%
козырьку,4,0.003587%
образ,4,0.003587%
дорог,4,0.003587%
дружба,4,0.003587%
бывший,4,0.003587%
проезжали,4,0.003587%
взялся,4,0.003587%
написано,4,0.003587%
покачивал,4,0.003587%
отступления,4,0.003587%
часами,4,0.003587%
братцы,4,0.003587%
порох,4,0.003587%
научу,4,0.003587%
держали,4,0.003587%
смотру,4,0.003587%
расстроенными,4,0.003587%
ходу,4,0.003587%
службу,4,0.003587%
службе,4,0.003587%
николаю,4,0.003587%
дух,4,0.003587%
условиях,4,0.003587%
кружок,4,0.003587%
пойдет,4,0.003587%
смешно,4,0.003587%
бежит,4,0.003587%
sera,4,0.003587%
секреты,4,0.003587%
юнкера,4,0.003587%
светло,4,0.003587%
уйти,4,0.003587%
прислуга,4,0.003587%
суворова,4,0.003587%
горничную,4,0.003587%
алпатыч,4,0.003587%
проходивших,4,0.003587%
предлагая,4,0.003587%
краю,4,0.003587%
connais,4,0.003587%
працена,4,0.003587%
женщину,4,0.003587%
владимирович,4,0.003587%
жерковым,4,0.003587%
стоят,4,0.003587%
плечу,4,0.003587%
третья,4,0.003587%
ждет,4,0.003587%
hommes,4,0.003587%
приходил,4,0.003587%
забуду,4,0.003587%
marie,4,0.003587%
приняла,4,0.003587%
любимый,4,0.003587%
входа,4,0.003587%
немедленно,4,0.003587%
фыркнул,4,0.003587%
уверен,4,0.003587%
чутьем,4,0.003587%
низко,4,0.003587%
рейтузы,4,0.003587%
ждут,4,0.003587%
форме,4,0.003587%
grande,4,0.003587%
молодежь,4,0.003587%
молодежи,4,0.003587%
пальба,4,0.003587%
поняв,4,0.003587%
схватив,4,0.003587%
награды,4,0.003587%
потрепал,4,0.003587%
чертами,4,0.003587%
главные,4,0.003587%
связи,4,0.003587%
преимущественно,4,0.003587%
надеясь,4,0.003587%
известий,4,0.003587%
никуда,4,0.003587%
штабных,4,0.003587%
recu,4,0.003587%
devenir,4,0.003587%
исключая,4,0.003587%
шенграбен,4,0.003587%
указывала,4,0.003587%
недоумевая,4,0.003587%
кирилл,4,0.003587%
решимость,4,0.003587%
feind,4,0.003587%
gens,4,0.003587%
насчет,4,0.003587%
будущем,4,0.003587%
старых,4,0.003587%
исполнил,4,0.003587%
вздор,4,0.003587%
центра,4,0.003587%
дохтуров,4,0.003587%
доброго,4,0.003587%
въехал,4,0.003587%
выходить,4,0.003587%
махая,4,0.003587%
оживляясь,4,0.003587%
выходила,4,0.003587%
анатолем,4,0.003587%
ночью,4,0.003587%
подробностях,4,0.003587%
шестой,4,0.003587%
диванную,4,0.003587%
милого,4,0.003587%
песня,4,0.003587%
имя,4,0.003587%
седыми,4,0.003587%
бегут,4,0.003587%
понимала,4,0.003587%
нужен,4,0.003587%
jour,4,0.003587%
папа,4,0.003587%
умен,4,0.003587%
позволю,4,0.003587%
казаться,4,0.003587%
халате,4,0.003587%
архитектор,4,0.003587%
седле,4,0.003587%
кавалергард,4,0.003587%
бывал,4,0.003587%
переставая,4,0.003587%
банник,4,0.003587%
энглизированной,4,0.003587%
побежали,4,0.003587%
повернулась,4,0.003587%
russe,4,0.003587%
постоял,4,0.003587%
гостя,4,0.003587%
надобно,4,0.003587%
остались,4,0.003587%
прежнего,4,0.003587%
измученный,4,0.003587%
ответила,4,0.003587%
силу,4,0.003587%
город,4,0.003587%
affaires,4,0.003587%
лежали,4,0.003587%
возражения,4,0.003587%
простым,4,0.003587%
вернулись,4,0.003587%
гусарам,4,0.003587%
восторга,4,0.003587%
вскрикнул,4,0.003587%
parlez,4,0.003587%
ждала,4,0.003587%
произнося,4,0.003587%
кое,4,0.003587%
выпуская,4,0.003587%
убежден,4,0.003587%
вейротером,4,0.003587%
чулках,4,0.003587%
речь,4,0.003587%
спать,4,0.003587%
обратились,4,0.003587%
данное,4,0.003587%
fluegel,4,0.003587%
планы,4,0.003587%
несвицкому,4,0.003587%
toute,4,0.003587%
лег,4,0.003587%
замолчали,4,0.003587%
оставит,4,0.003587%
репнин,4,0.003587%
parole,4,0.003587%
серыми,4,0.003587%
прислушивался,4,0.003587%
красные,4,0.003587%
зашевелилось,4,0.003587%
едешь,4,0.003587%
усевшись,4,0.003587%
анатолю,4,0.003587%
tour,4,0.003587%
вмешался,4,0.003587%
поражении,4,0.003587%
талией,4,0.003587%
стихи,4,0.003587%
нахмурившись,4,0.003587%
государственных,4,0.003587%
перебила,4,0.003587%
пушил,4,0.003587%
мак,4,0.003587%
пушек,4,0.003587%
возвышении,4,0.003587%
широким,4,0.003587%
несчастный,4,0.003587%
приходится,4,0.003587%
высоким,4,0.003587%
говори,4,0.003587%
оживленное,4,0.003587%
говору,4,0.003587%
мил,4,0.003587%
перчатку,4,0.003587%
дослушав,4,0.003587%
назначен,4,0.003587%
обгоняя,4,0.003587%
расстаться,4,0.003587%
продолжалось,4,0.003587%
султаном,4,0.003587%
разговоре,4,0.003587%
судьбы,4,0.003587%
потянул,4,0.003587%
владимировича,4,0.003587%
дрова,4,0.003587%
промежутках,4,0.003587%
продолжение,4,0.003587%
делается,4,0.003587%
большею,4,0.003587%
полюбила,4,0.003587%
принят,4,0.003587%
подняв,4,0.003587%
прозвучал,4,0.003587%
исполнять,4,0.003587%
восторженно,4,0.003587%
задних,4,0.003587%
комната,4,0.003587%
ипполитом,4,0.003587%
улыбке,4,0.003587%
существо,4,0.003587%
нос,4,0.003587%
значительным,4,0.003587%
другая,4,0.003587%
устремлены,4,0.003587%
пожав,4,0.003587%
нетерпеливо,4,0.003587%
огней,4,0.003587%
огнем,4,0.003587%
sauveur,4,0.003587%
пруссия,4,0.003587%
марии,4,0.003587%
malgre,4,0.003587%
принес,4,0.003587%
дивана,4,0.003587%
испытал,4,0.003587%
hoch,4,0.003587%
точь,4,0.003587%
оглядел,4,0.003587%
ковру,4,0.003587%
подъезда,4,0.003587%
trop,4,0.003587%
духом,4,0.003587%
новости,4,0.003587%
перешла,4,0.003587%
наше,4,0.003587%
ростовой,4,0.003587%
незаметно,4,0.003587%
поставил,4,0.003587%
платка,4,0.003587%
огромные,4,0.003587%
движению,4,0.003587%
удивляясь,4,0.003587%
движений,4,0.003587%
считая,4,0.003587%
октября,4,0.003587%
ступая,4,0.003587%
шагу,4,0.003587%
объезжая,4,0.003587%
участвовал,4,0.003587%
souverains,4,0.003587%
огня,4,0.003587%
благодетель,4,0.003587%
входил,4,0.003587%
трус,4,0.003587%
двигалась,4,0.003587%
расстроен,4,0.003587%
хитрою,4,0.003587%
огромное,4,0.003587%
оглядывалась,4,0.003587%
расслышал,4,0.003587%
походкой,4,0.003587%
нынешний,4,0.003587%
маменьке,4,0.003587%
военное,4,0.003587%
раб,4,0.003587%
старалась,4,0.003587%
императрице,4,0.003587%
гвардией,4,0.003587%
брюнн,4,0.003587%
пехотных,4,0.003587%
милорадовича,4,0.003587%
военные,4,0.003587%
передние,4,0.003587%
верили,4,0.003587%
пить,4,0.003587%
гвардейский,4,0.003587%
окружавших,4,0.003587%
матушка,4,0.003587%
раздались,4,0.003587%
девочки,4,0.003587%
оценить,4,0.003587%
пили,4,0.003587%
остов,4,0.003587%
спрашивая,4,0.003587%
похожее,4,0.003587%
веселого,4,0.003587%
черный,4,0.003587%
дыхание,4,0.003587%
интересов,4,0.003587%
тяжести,4,0.003587%
штыками,4,0.003587%
пишу,4,0.003587%
союз,4,0.003587%
портрет,4,0.003587%
сне,4,0.003587%
свежий,4,0.003587%
маленьким,4,0.003587%
доволен,4,0.003587%
сторонам,3,0.002691%
младшая,3,0.002691%
4,3,0.002691%
7,3,0.002691%
8,3,0.002691%
ста,3,0.002691%
богатство,3,0.002691%
увижу,3,0.002691%
r,3,0.002691%
w,3,0.002691%
x,3,0.002691%
решится,3,0.002691%
ауэрсперга,3,0.002691%
дворецкий,3,0.002691%
штабом,3,0.002691%
обозов,3,0.002691%
относительно,3,0.002691%
прислушался,3,0.002691%
изящно,3,0.002691%
плотины,3,0.002691%
догоняя,3,0.002691%
васьки,3,0.002691%
насквозь,3,0.002691%
васька,3,0.002691%
бонапартом,3,0.002691%
позволите,3,0.002691%
глазу,3,0.002691%
бугре,3,0.002691%
честный,3,0.002691%
зa,3,0.002691%
настолько,3,0.002691%
разные,3,0.002691%
обтирая,3,0.002691%
масс,3,0.002691%
глубоко,3,0.002691%
вытягиваясь,3,0.002691%
виднелась,3,0.002691%
довольна,3,0.002691%
втроем,3,0.002691%
фердинанд,3,0.002691%
веселыми,3,0.002691%
генерального,3,0.002691%
фронта,3,0.002691%
фронту,3,0.002691%
добры,3,0.002691%
опущенными,3,0.002691%
добро,3,0.002691%
tellement,3,0.002691%
сапоги,3,0.002691%
двигался,3,0.002691%
известного,3,0.002691%
подавить,3,0.002691%
кинул,3,0.002691%
противоположность,3,0.002691%
больным,3,0.002691%
крылом,3,0.002691%
увидим,3,0.002691%
воспитанника,3,0.002691%
рукав,3,0.002691%
объявил,3,0.002691%
веретена,3,0.002691%
шедшими,3,0.002691%
блестящая,3,0.002691%
грязной,3,0.002691%
отъезда,3,0.002691%
десяток,3,0.002691%
стану,3,0.002691%
заснул,3,0.002691%
рома,3,0.002691%
12,3,0.002691%
15,3,0.002691%
25,3,0.002691%
28,3,0.002691%
размахивая,3,0.002691%
подвертки,3,0.002691%
скорей,3,0.002691%
interets,3,0.002691%
эполеты,3,0.002691%
расположения,3,0.002691%
роды,3,0.002691%
плащ,3,0.002691%
уму,3,0.002691%
наступило,3,0.002691%
отвернувшись,3,0.002691%
мундир,3,0.002691%
писателя,3,0.002691%
младшие,3,0.002691%
пехоте,3,0.002691%
ль,3,0.002691%
existence,3,0.002691%
доложить,3,0.002691%
па,3,0.002691%
занятие,3,0.002691%
освещенной,3,0.002691%
сю,3,0.002691%
производство,3,0.002691%
неся,3,0.002691%
студент,3,0.002691%
карман,3,0.002691%
майор,3,0.002691%
веры,3,0.002691%
ушли,3,0.002691%
испуганное,3,0.002691%
длинною,3,0.002691%
дотрогиваясь,3,0.002691%
слышишь,3,0.002691%
испуганный,3,0.002691%
вела,3,0.002691%
равновесие,3,0.002691%
называли,3,0.002691%
румяная,3,0.002691%
прошлую,3,0.002691%
гусарами,3,0.002691%
красивые,3,0.002691%
шедшие,3,0.002691%
провожал,3,0.002691%
общему,3,0.002691%
эх,3,0.002691%
быстрым,3,0.002691%
счастья,3,0.002691%
понятие,3,0.002691%
рому,3,0.002691%
назначение,3,0.002691%
поможет,3,0.002691%
charmante,3,0.002691%
назначению,3,0.002691%
дернул,3,0.002691%
yeux,3,0.002691%
reviendra,3,0.002691%
приблизился,3,0.002691%
оставили,3,0.002691%
рассуждать,3,0.002691%
fois,3,0.002691%
возражать,3,0.002691%
боялись,3,0.002691%
pensez,3,0.002691%
взорвать,3,0.002691%
бояться,3,0.002691%
единственный,3,0.002691%
уроки,3,0.002691%
вправо,3,0.002691%
послан,3,0.002691%
er,3,0.002691%
foi,3,0.002691%
очаровательно,3,0.002691%
взгляду,3,0.002691%
виноваты,3,0.002691%
умными,3,0.002691%
обозами,3,0.002691%
строились,3,0.002691%
христос,3,0.002691%
iv,3,0.002691%
ix,3,0.002691%
раньше,3,0.002691%
особенный,3,0.002691%
подошли,3,0.002691%
занимался,3,0.002691%
стул,3,0.002691%
находилось,3,0.002691%
исплаканным,3,0.002691%
oh,3,0.002691%
собеседницу,3,0.002691%
campagne,3,0.002691%
особа,3,0.002691%
страданий,3,0.002691%
басистым,3,0.002691%
направилась,3,0.002691%
тронулись,3,0.002691%
живых,3,0.002691%
махнув,3,0.002691%
гостям,3,0.002691%
махнул,3,0.002691%
vi,3,0.002691%
трактир,3,0.002691%
цнаймской,3,0.002691%
xa,3,0.002691%
знакомого,3,0.002691%
знание,3,0.002691%
известная,3,0.002691%
увидали,3,0.002691%
аббатом,3,0.002691%
мешал,3,0.002691%
судя,3,0.002691%
переговариваясь,3,0.002691%
такому,3,0.002691%
задом,3,0.002691%
карете,3,0.002691%
лбом,3,0.002691%
сдержанно,3,0.002691%
молчите,3,0.002691%
требуя,3,0.002691%
смирно,3,0.002691%
тишине,3,0.002691%
ружье,3,0.002691%
привезенное,3,0.002691%
потирая,3,0.002691%
золото,3,0.002691%
трубу,3,0.002691%
грусть,3,0.002691%
заложив,3,0.002691%
морем,3,0.002691%
досады,3,0.002691%
колена,3,0.002691%
блестя,3,0.002691%
равномерно,3,0.002691%
счастливый,3,0.002691%
империалов,3,0.002691%
колесо,3,0.002691%
дому,3,0.002691%
жалею,3,0.002691%
считала,3,0.002691%
crois,3,0.002691%
сущность,3,0.002691%
медведем,3,0.002691%
широко,3,0.002691%
скрылась,3,0.002691%
обстоятельства,3,0.002691%
приезжать,3,0.002691%
покачала,3,0.002691%
николушка,3,0.002691%
вдоль,3,0.002691%
выражала,3,0.002691%
хозяйки,3,0.002691%
условие,3,0.002691%
замечание,3,0.002691%
условия,3,0.002691%
выпью,3,0.002691%
зажмурился,3,0.002691%
оттолкнул,3,0.002691%
храбрый,3,0.002691%
счастливая,3,0.002691%
успокоивая,3,0.002691%
очнулся,3,0.002691%
атаке,3,0.002691%
exprimer,3,0.002691%
пуговицу,3,0.002691%
пахло,3,0.002691%
чей,3,0.002691%
поцеловался,3,0.002691%
тетушки,3,0.002691%
императоры,3,0.002691%
войти,3,0.002691%
давили,3,0.002691%
недели,3,0.002691%
придворных,3,0.002691%
маленького,3,0.002691%
считать,3,0.002691%
докладывал,3,0.002691%
главного,3,0.002691%
боялась,3,0.002691%
привык,3,0.002691%
перейдут,3,0.002691%
важности,3,0.002691%
молодцов,3,0.002691%
сестра,3,0.002691%
митрич,3,0.002691%
унывать,3,0.002691%
дивизии,3,0.002691%
члены,3,0.002691%
коридор,3,0.002691%
спасти,3,0.002691%
iii,3,0.002691%
опустилась,3,0.002691%
челюсть,3,0.002691%
столпились,3,0.002691%
челюсти,3,0.002691%
наделал,3,0.002691%
встав,3,0.002691%
чья,3,0.002691%
excellent,3,0.002691%
имение,3,0.002691%
каре,3,0.002691%
звуках,3,0.002691%
ist,3,0.002691%
расходиться,3,0.002691%
улыбаться,3,0.002691%
экипажа,3,0.002691%
бледным,3,0.002691%
запыхавшись,3,0.002691%
выходе,3,0.002691%
локоть,3,0.002691%
женщинах,3,0.002691%
успеет,3,0.002691%
выходя,3,0.002691%
успеем,3,0.002691%
спокойном,3,0.002691%
позвонила,3,0.002691%
фельдфебель,3,0.002691%
привыкла,3,0.002691%
толпе,3,0.002691%
невестке,3,0.002691%
пригнул,3,0.002691%
esprit,3,0.002691%
привез,3,0.002691%
trahison,3,0.002691%
толку,3,0.002691%
voyez,3,0.002691%
бросая,3,0.002691%
встретили,3,0.002691%
человеческий,3,0.002691%
кашу,3,0.002691%
разрешил,3,0.002691%
бледное,3,0.002691%
горизонт,3,0.002691%
оглядывались,3,0.002691%
mauvais,3,0.002691%
наивным,3,0.002691%
спокойное,3,0.002691%
катя,3,0.002691%
впечатления,3,0.002691%
карту,3,0.002691%
поглядывая,3,0.002691%
entendre,3,0.002691%
помилуйте,3,0.002691%
сознания,3,0.002691%
спускаться,3,0.002691%
vieux,3,0.002691%
гувернеры,3,0.002691%
мгновенье,3,0.002691%
переменил,3,0.002691%
выражать,3,0.002691%
шляпе,3,0.002691%
нескольких,3,0.002691%
скажешь,3,0.002691%
представлялась,3,0.002691%
родинкой,3,0.002691%
оскорбления,3,0.002691%
доставая,3,0.002691%
пуская,3,0.002691%
братскою,3,0.002691%
функе,3,0.002691%
долохову,3,0.002691%
покажет,3,0.002691%
глубине,3,0.002691%
рассказов,3,0.002691%
событий,3,0.002691%
marieche,3,0.002691%
впечатлений,3,0.002691%
мими,3,0.002691%
лейб,3,0.002691%
приехав,3,0.002691%
возможным,3,0.002691%
поехали,3,0.002691%
quitte,3,0.002691%
причину,3,0.002691%
останется,3,0.002691%
столкновение,3,0.002691%
причина,3,0.002691%
пленных,3,0.002691%
минирован,3,0.002691%
вроде,3,0.002691%
ушами,3,0.002691%
разместились,3,0.002691%
извиняться,3,0.002691%
поворачиваясь,3,0.002691%
дипломатов,3,0.002691%
курьером,3,0.002691%
готово,3,0.002691%
лечь,3,0.002691%
знакомым,3,0.002691%
увидите,3,0.002691%
бишь,3,0.002691%
увидишь,3,0.002691%
приказанию,3,0.002691%
готовы,3,0.002691%
следующее,3,0.002691%
шмит,3,0.002691%
михайла,3,0.002691%
михайле,3,0.002691%
хохотом,3,0.002691%
propos,3,0.002691%
грязью,3,0.002691%
детской,3,0.002691%
миру,3,0.002691%
успокойтесь,3,0.002691%
полудня,3,0.002691%
сцены,3,0.002691%
стыда,3,0.002691%
спрыгнул,3,0.002691%
celui,3,0.002691%
влюблены,3,0.002691%
подает,3,0.002691%
heureuse,3,0.002691%
обойтись,3,0.002691%
юнкером,3,0.002691%
порохового,3,0.002691%
догнал,3,0.002691%
спрашивали,3,0.002691%
подоконник,3,0.002691%
упорно,3,0.002691%
руководили,3,0.002691%
различные,3,0.002691%
удавалось,3,0.002691%
долгом,3,0.002691%
окружающими,3,0.002691%
последнюю,3,0.002691%
ножей,3,0.002691%
последняя,3,0.002691%
devoirs,3,0.002691%
птиц,3,0.002691%
выходку,3,0.002691%
рассматривал,3,0.002691%
xiii,3,0.002691%
многих,3,0.002691%
обычное,3,0.002691%
руководительницу,3,0.002691%
кучера,3,0.002691%
бутылка,3,0.002691%
genlis,3,0.002691%
dirai,3,0.002691%
худым,3,0.002691%
уселся,3,0.002691%
минутного,3,0.002691%
воспользоваться,3,0.002691%
послушай,3,0.002691%
cependant,3,0.002691%
пойдете,3,0.002691%
принадлежать,3,0.002691%
усилием,3,0.002691%
насмешливо,3,0.002691%
корпус,3,0.002691%
правила,3,0.002691%
подумай,3,0.002691%
характер,3,0.002691%
поезжай,3,0.002691%
оставшись,3,0.002691%
оживлялся,3,0.002691%
французскою,3,0.002691%
раннего,3,0.002691%
следя,3,0.002691%
пути,3,0.002691%
выстрелами,3,0.002691%
велят,3,0.002691%
перенесло,3,0.002691%
наследник,3,0.002691%
проклятые,3,0.002691%
собственно,3,0.002691%
лагерь,3,0.002691%
лагеря,3,0.002691%
сведения,3,0.002691%
париж,3,0.002691%
англии,3,0.002691%
вода,3,0.002691%
boris,3,0.002691%
француженка,3,0.002691%
кавалерист,3,0.002691%
начинали,3,0.002691%
велела,3,0.002691%
привычки,3,0.002691%
прекрасном,3,0.002691%
забавно,3,0.002691%
команде,3,0.002691%
воздухе,3,0.002691%
ближайших,3,0.002691%
общих,3,0.002691%
привычку,3,0.002691%
шарахнулась,3,0.002691%
водки,3,0.002691%
желании,3,0.002691%
общее,3,0.002691%
скажи,3,0.002691%
улыбающимся,3,0.002691%
бывала,3,0.002691%
heros,3,0.002691%
озлобление,3,0.002691%
требование,3,0.002691%
носу,3,0.002691%
безнадежно,3,0.002691%
сообщения,3,0.002691%
nom,3,0.002691%
лизы,3,0.002691%
serait,3,0.002691%
шуток,3,0.002691%
несвицким,3,0.002691%
успокоиваясь,3,0.002691%
захочет,3,0.002691%
переговоры,3,0.002691%
фразы,3,0.002691%
поворотился,3,0.002691%
несчастлива,3,0.002691%
фраке,3,0.002691%
сестрою,3,0.002691%
почтительной,3,0.002691%
болен,3,0.002691%
скрывать,3,0.002691%
стреляют,3,0.002691%
умышленно,3,0.002691%
тронулась,3,0.002691%
cheval,3,0.002691%
новых,3,0.002691%
нездоров,3,0.002691%
пронзительно,3,0.002691%
кричать,3,0.002691%
сыне,3,0.002691%
бровей,3,0.002691%
лише,3,0.002691%
свиту,3,0.002691%
блага,3,0.002691%
денщиков,3,0.002691%
свита,3,0.002691%
новой,3,0.002691%
choses,3,0.002691%
обратившись,3,0.002691%
кричали,3,0.002691%
шутил,3,0.002691%
поймет,3,0.002691%
бойся,3,0.002691%
вашими,3,0.002691%
преданности,3,0.002691%
окруженный,3,0.002691%
aide,3,0.002691%
одетые,3,0.002691%
занятиям,3,0.002691%
аться,3,0.002691%
венский,3,0.002691%
уронил,3,0.002691%
перекинул,3,0.002691%
трактира,3,0.002691%
стоявшие,3,0.002691%
обдумывал,3,0.002691%
поручение,3,0.002691%
выразилось,3,0.002691%
винценгероде,3,0.002691%
поручения,3,0.002691%
забывать,3,0.002691%
необыкновенной,3,0.002691%
назвал,3,0.002691%
famille,3,0.002691%
кончики,3,0.002691%
узнает,3,0.002691%
называя,3,0.002691%
детски,3,0.002691%
кустам,3,0.002691%
серых,3,0.002691%
описание,3,0.002691%
сабли,3,0.002691%
приездом,3,0.002691%
короткими,3,0.002691%
ответственность,3,0.002691%
губа,3,0.002691%
temps,3,0.002691%
закрыла,3,0.002691%
задрожала,3,0.002691%
сообразите,3,0.002691%
похожа,3,0.002691%
шедшему,3,0.002691%
влюблен,3,0.002691%
возбуждал,3,0.002691%
кивера,3,0.002691%
узкой,3,0.002691%
выйдя,3,0.002691%
горючие,3,0.002691%
разбил,3,0.002691%
преодолеть,3,0.002691%
войнах,3,0.002691%
потеря,3,0.002691%
предлогом,3,0.002691%
крупными,3,0.002691%
приятнее,3,0.002691%
приглашение,3,0.002691%
фамилии,3,0.002691%
повторять,3,0.002691%
ревизию,3,0.002691%
густых,3,0.002691%
царицыном,3,0.002691%
барина,3,0.002691%
удары,3,0.002691%
забыть,3,0.002691%
моде,3,0.002691%
следующего,3,0.002691%
последнего,3,0.002691%
смертью,3,0.002691%
арнауты,3,0.002691%
манерами,3,0.002691%
обращении,3,0.002691%
обращения,3,0.002691%
акцентом,3,0.002691%
замечали,3,0.002691%
высшее,3,0.002691%
высшей,3,0.002691%
представляться,3,0.002691%
